latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
31.05893,8.04103,298.3,0.39,0.36,2024-12-01,111,N,VIIRS,n,2.0NRT,277.95,0.6,N
31.08071,8.36331,299.52,0.38,0.36,2024-12-01,111,N,VIIRS,n,2.0NRT,278.42,0.43,N
31.08401,8.364,295.37,0.38,0.36,2024-12-01,111,N,VIIRS,n,2.0NRT,278.27,0.26,N
31.17813,8.10578,333.3,0.39,0.36,2024-12-01,111,N,VIIRS,n,2.0NRT,281.23,4.53,N
31.18679,8.64048,295.44,0.38,0.36,2024-12-01,111,N,VIIRS,n,2.0NRT,278.22,0.51,N
31.18724,6.78755,354.93,0.41,0.37,2024-12-01,111,N,VIIRS,n,2.0NRT,283.73,7.25,N
31.19063,6.7882,324.76,0.41,0.37,2024-12-01,111,N,VIIRS,n,2.0NRT,282.26,1.5,N
31.31666,11.80145,322.82,0.44,0.38,2024-12-01,111,N,VIIRS,n,2.0NRT,278.02,2.64,N
31.35876,6.05294,319.33,0.43,0.38,2024-12-01,111,N,VIIRS,n,2.0NRT,279.38,1.62,N
31.39624,6.93556,327.7,0.4,0.37,2024-12-01,111,N,VIIRS,n,2.0NRT,280.12,2.66,N
31.39658,12.14507,323.83,0.45,0.39,2024-12-01,111,N,VIIRS,n,2.0NRT,277.7,2.57,N
31.39684,6.93132,327.88,0.4,0.37,2024-12-01,111,N,VIIRS,n,2.0NRT,280.58,2.66,N
31.40462,5.97837,324.34,0.43,0.38,2024-12-01,111,N,VIIRS,n,2.0NRT,286.06,4.92,N
31.40524,5.97385,330.24,0.43,0.38,2024-12-01,111,N,VIIRS,n,2.0NRT,284.54,7.59,N
31.58403,5.95516,331.36,0.43,0.38,2024-12-01,111,N,VIIRS,n,2.0NRT,280.02,3.23,N
31.59103,5.95644,326.03,0.43,0.38,2024-12-01,111,N,VIIRS,n,2.0NRT,279.39,2.05,N
31.64809,5.98866,299.19,0.43,0.38,2024-12-01,111,N,VIIRS,n,2.0NRT,280.56,1.09,N
31.64894,9.17355,322.6,0.38,0.36,2024-12-01,111,N,VIIRS,n,2.0NRT,281.69,1.25,N
31.64958,9.16953,302.98,0.38,0.36,2024-12-01,111,N,VIIRS,n,2.0NRT,280.72,1.59,N
31.65997,6.06054,323.6,0.43,0.38,2024-12-01,111,N,VIIRS,n,2.0NRT,280.06,1.95,N
